Round: 0, Step 0
MAPE: 0.0804: 21,139,9,10,39,0.8651,0.053,0.9155,4
MAPE: 0.0503: 4,273,16,7,21,0.3606,0.0301,0.5908,7
MAPE: 0.9230: 40,297,16,7,13,0.359,0.0891,0.3204,5
MAPE: 0.0615: 2,226,4,6,35,0.5683,0.0643,0.3428,9
MAPE: 0.6552: 27,440,18,8,12,0.917,0.0365,0.7725,9
MAPE: 0.0473: 28,87,32,4,46,0.3534,0.0311,0.1768,5
MAPE: 0.6913: 10,202,34,6,4,0.4153,0.0474,0.4476,4
MAPE: 0.2800: 30,235,7,4,33,0.284,0.035,0.3541,4
MAPE: 0.1857: 42,287,2,8,26,0.7321,0.0936,0.0936,6
MAPE: 0.0514: 9,83,24,2,7,0.185,0.0579,0.4198,2
MAPE: 0.4256: 38,292,25,9,16,0.8905,0.0994,0.1752,3
MAPE: 0.0484: 3,81,33,7,7,0.0964,0.0125,0.6487,6
MAPE: 0.0911: 21,364,6,4,49,0.6957,0.0907,0.0031,8
MAPE: 4.1956: 14,394,33,5,18,0.6045,0.0268,0.4661,9
MAPE: 0.0644: 9,195,23,2,32,0.8965,0.0408,0.0852,5
MAPE: 0.0506: 28,89,38,5,21,0.5735,0.012,0.2125,2
MAPE: 0.6425: 28,495,7,7,33,0.9958,0.0584,0.3081,9
MAPE: 0.3010: 32,226,16,3,18,0.8938,0.0522,0.2362,4
MAPE: 0.0911: 9,245,3,9,33,0.8743,0.0722,0.6709,5
MAPE: 0.4697: 30,368,6,3,38,0.4729,0.0552,0.5767,8
MAPE: 0.0755: 14,109,15,3,19,0.6355,0.0493,0.2348,8
Step: 1, min MAPE: 0.045385964, hyperparameter: [16.50199826901448, 94.32450411076873, 38.18999981986477, 5.296927484718693, 40.9676503100212, 0.3187987968624336, 0.020049510879519436, 0.39779868866168333, 7.414533421199586]
Round: 0, Step 2
MAPE: 0.5899: 18,230,14,7,13,0.609,0.0112,0.7742,4
MAPE: 0.0796: 28,74,42,5,20,0.7284,0.02,0.3978,7
MAPE: 0.0634: 4,52,28,9,26,0.3113,0.0655,0.1924,10
MAPE: 0.0663: 7,47,17,6,12,0.7012,0.0554,0.6744,5
MAPE: 0.4509: 43,361,10,8,17,0.796,0.0387,0.399,7
MAPE: 0.0555: 18,166,31,7,41,0.4291,0.0353,0.8257,6
MAPE: 0.0707: 21,139,4,10,3,0.4542,0.053,0.9155,2
MAPE: 0.0578: 4,273,16,7,21,0.3606,0.0459,0.1592,3
MAPE: 1.1778: 40,235,16,8,13,0.359,0.0891,0.3204,6
MAPE: 0.2719: 2,226,27,6,35,0.5683,0.0185,0.5997,9
MAPE: 3.2566: 27,443,18,9,12,0.7933,0.0307,0.7725,9
MAPE: 0.0516: 28,87,32,4,46,0.5724,0.0311,0.4824,5
MAPE: 0.6620: 28,202,38,7,4,0.6782,0.0455,0.5232,1
MAPE: 3.7084: 30,239,13,8,33,0.284,0.0412,0.3541,4
MAPE: 0.0508: 26,288,24,2,33,0.3387,0.0325,0.6783,2
MAPE: 0.0730: 36,81,12,7,7,0.4123,0.0621,0.6487,6
MAPE: 0.3651: 15,195,23,2,32,0.8332,0.0408,0.3491,5
MAPE: 0.6493: 28,89,22,5,35,0.2049,0.0624,0.8915,2
MAPE: 0.3967: 30,319,6,9,11,0.4729,0.0151,0.5767,8
MAPE: 0.0613: 14,109,15,1,32,0.6355,0.0583,0.2348,7
Step: 2, min MAPE: 0.045385964, hyperparameter: [16.50199826901448, 94.32450411076873, 38.18999981986477, 5.296927484718693, 40.9676503100212, 0.3187987968624336, 0.020049510879519436, 0.39779868866168333, 7.414533421199586]
