Round: 0, Step 0
MAPE: 0.1061: 33,44,20,4,3,0.2539,0.0563,0.7573,3
MAPE: 0.7463: 49,289,4,4,2,0.8009,0.0106,0.1433,7
MAPE: 1.7725: 4,206,26,10,8,0.5704,0.0641,0.2058,4
MAPE: 4.4885: 24,267,45,1,12,0.1321,0.0917,0.9102,6
MAPE: 0.0856: 5,74,34,8,5,0.3575,0.0834,0.7774,6
MAPE: 0.0762: 3,293,9,3,13,0.6242,0.0237,0.0339,10
MAPE: 0.0942: 42,45,25,6,40,0.2515,0.0378,0.5772,8
MAPE: 1.0578: 30,293,22,3,32,0.2777,0.0509,0.8457,3
MAPE: 0.7078: 9,439,48,7,26,0.2485,0.0308,0.3683,6
Step: 1, min MAPE: 0.056833215, hyperparameter: [9.479436450353578, 72.80544766422672, 47.57445842171844, 6.840146363010524, 25.585553909202808, 0.24845579288673617, 0.030835788350533085, 0.3683419053302235, 5.855846890170268]
Round: 0, Step 2
MAPE: 0.0628: 21,43,25,6,45,0.4193,0.0217,0.7605,3
MAPE: 1.8419: 7,280,29,5,44,0.4136,0.0651,0.2347,4
MAPE: 0.5877: 17,356,5,4,9,0.3925,0.0184,0.8211,2
MAPE: 0.1697: 23,65,49,5,41,0.2514,0.0638,0.6719,7
MAPE: 0.6350: 30,121,42,4,2,0.3307,0.046,0.04,5
MAPE: 0.0564: 8,107,48,3,13,0.1101,0.021,0.7113,6
MAPE: 0.0675: 3,61,15,6,30,0.1981,0.0493,0.2959,1
MAPE: 3.2017: 36,241,27,9,24,0.5057,0.0434,0.1624,8
MAPE: 0.9131: 25,435,41,1,43,0.7427,0.0511,0.9351,9
MAPE: 0.1045: 18,63,36,1,11,0.5352,0.0574,0.397,8
MAPE: 0.1040: 3,96,41,8,2,0.559,0.0362,0.9563,8
MAPE: 0.1163: 9,265,10,4,14,0.9136,0.0512,0.1302,8
MAPE: 0.0592: 13,95,48,5,3,0.2339,0.0104,0.2036,6
MAPE: 0.0648: 3,172,20,4,10,0.2539,0.0563,0.7573,3
MAPE: 1.8548: 4,270,26,8,6,0.4495,0.0641,0.2058,4
MAPE: 0.0837: 5,74,34,8,5,0.3575,0.0796,0.1315,6
MAPE: 0.0727: 3,293,9,4,15,0.4972,0.0237,0.0339,10
MAPE: 0.0666: 5,45,19,6,40,0.2515,0.0378,0.1118,8
MAPE: 0.4489: 26,258,22,3,4,0.2777,0.0153,0.2208,9
MAPE: 0.0573: 15,73,48,7,26,0.2485,0.0308,0.3683,6
Step: 2, min MAPE: 0.05641612, hyperparameter: [8.233389421979584, 107.28127175820302, 47.682760639389635, 3.236400881792439, 13.182012882335703, 0.11013606421051952, 0.020969132994779118, 0.7112748848587735, 6.438444505135519]
Round: 0, Step 3
MAPE: 0.0766: 39,45,25,8,45,0.2248,0.0576,0.7605,3
MAPE: 0.0666: 4,163,44,4,9,0.3925,0.0465,0.8211,2
MAPE: 0.1153: 7,26,48,3,13,0.2463,0.0282,0.7113,9
MAPE: 0.0608: 41,61,40,3,45,0.1981,0.0122,0.2959,3
MAPE: 0.0682: 13,95,48,7,3,0.3215,0.0104,0.2036,6
MAPE: 0.0881: 3,55,20,7,42,0.2229,0.0563,0.7573,3
MAPE: 0.0848: 4,206,26,10,8,0.4495,0.0274,0.2058,4
MAPE: 0.0720: 5,44,31,6,40,0.2031,0.0569,0.1118,8
MAPE: 0.5652: 40,258,22,3,46,0.2041,0.0153,0.9289,1
MAPE: 0.0604: 9,73,48,6,26,0.2206,0.0308,0.3683,6
Step: 3, min MAPE: 0.05641612, hyperparameter: [8.233389421979584, 107.28127175820302, 47.682760639389635, 3.236400881792439, 13.182012882335703, 0.11013606421051952, 0.020969132994779118, 0.7112748848587735, 6.438444505135519]
Round: 0, Step 4
MAPE: 0.0748: 39,26,25,8,45,0.2248,0.0217,0.7605,5
MAPE: 0.0711: 8,107,48,7,13,0.1101,0.021,0.7113,5
MAPE: 0.0597: 41,61,48,6,30,0.1981,0.0493,0.2959,6
MAPE: 0.0591: 13,95,48,5,3,0.2339,0.0104,0.2036,6
MAPE: 0.0602: 15,73,46,7,26,0.2419,0.0308,0.3683,6
Step: 4, min MAPE: 0.05641612, hyperparameter: [8.233389421979584, 107.28127175820302, 47.682760639389635, 3.236400881792439, 13.182012882335703, 0.11013606421051952, 0.020969132994779118, 0.7112748848587735, 6.438444505135519]
