Round: 0, Step 0
MAPE: 1.1163: 19,194,38,8,27,0.9454,0.0572,0.5213,5
MAPE: 3.7431: 48,424,20,3,41,0.2895,0.0492,0.1264,4
MAPE: 0.0690: 21,73,8,9,20,0.4769,0.0217,0.9002,10
MAPE: 0.0685: 16,61,28,8,43,0.496,0.0962,0.1957,6
MAPE: 0.0499: 19,154,31,7,25,0.4741,0.027,0.2935,3
MAPE: 8.9676: 40,283,25,3,13,0.2647,0.048,0.3852,6
MAPE: 0.0948: 6,360,6,9,10,0.5643,0.0864,0.5839,6
MAPE: 1.1242: 17,87,41,2,6,0.7009,0.0945,0.0986,6
MAPE: 0.0615: 7,139,29,2,22,0.7766,0.0458,0.5551,5
MAPE: 0.0491: 13,174,49,3,49,0.1425,0.0559,0.1926,7
MAPE: 4.3165: 17,256,34,3,48,0.2149,0.0685,0.6904,8
MAPE: 3.1705: 34,447,33,1,14,0.4646,0.0702,0.9211,8
MAPE: 0.1065: 11,34,46,2,20,0.6024,0.0604,0.9744,6
MAPE: 0.0627: 4,173,27,3,48,0.5629,0.0853,0.3337,9
MAPE: 0.0548: 8,129,27,10,3,0.5778,0.0202,0.2794,5
MAPE: 1.2662: 34,488,19,10,41,0.3531,0.0142,0.9103,2
MAPE: 1.4241: 12,484,30,5,25,0.3207,0.0768,0.8985,4
MAPE: 2.1913: 21,260,25,7,50,0.6641,0.0958,0.565,2
MAPE: 24.7826: 15,367,30,5,5,0.6595,0.0455,0.5498,7
MAPE: 0.0778: 49,48,41,8,6,0.3824,0.0301,0.9082,7
MAPE: 0.0527: 11,244,16,2,19,0.4792,0.0307,0.1968,7
MAPE: 1.9841: 24,412,6,2,8,0.2195,0.0361,0.0096,5
MAPE: 1.1673: 25,25,41,3,42,0.7283,0.0912,0.1466,5
MAPE: 15.3551: 34,389,24,9,10,0.1113,0.056,0.0431,2
MAPE: 6.5285: 19,370,40,6,20,0.2431,0.0572,0.6352,5
Step: 1, min MAPE: 0.047813546, hyperparameter: [19.43945887717329, 75.6922327818036, 11.51110028140869, 6.7015305314856555, 21.813979409084247, 0.3054759769920522, 0.016621439505535636, 0.27878582976294164, 5.849733088943558]
Round: 0, Step 2
MAPE: 0.0442: 23,159,31,5,24,0.1754,0.0291,0.1325,8
MAPE: 0.0545: 19,76,12,8,22,0.3055,0.0885,0.2788,6
MAPE: 0.0541: 26,231,32,3,21,0.4668,0.0175,0.8745,3
MAPE: 3.1317: 48,251,20,3,41,0.2895,0.06,0.1631,4
MAPE: 0.0677: 26,191,8,9,20,0.4769,0.0217,0.876,10
MAPE: 0.0672: 14,92,28,8,43,0.4286,0.0962,0.1957,6
MAPE: 0.0520: 19,100,31,4,25,0.4741,0.04,0.072,3
MAPE: 0.0636: 27,200,26,3,13,0.4387,0.0179,0.3852,8
MAPE: 1.1891: 7,139,29,10,7,0.7766,0.0458,0.4787,5
MAPE: 0.0628: 13,174,49,9,49,0.1425,0.0572,0.5656,7
